RS;JAGUARI;IFFARROUPILHA;CAMPUS JAGUARI;ENSINO PRESENCIAL;SEM PROGRAMA ASSOCIADO;TECNICO;TECNICO EM SISTEMAS DE ENERGIA RENOVAVEL;CONTROLE E PROCESSOS INDUSTRIAIS;NÃO;SUBSEQUENTE;2682107;TECNICO EM SISTEMAS DE ENERGIA RENOVAVEL SUBSEQUENTE 12/02/2020 30/07/2021;12/02/2020;30/07/2021;1200;1200;1200;2,5;;535;2,2430;818,6916;1,0234;;;01/01/2023;31/12/2023;1;0;0;0;0;182,5; 0,5000 ; 0,5117 ; 0,2558 ; 0,6396 ; -     ; 0,6396 ;PRESENCIAL;;;;;;;
RS;JAGUARI;IFFARROUPILHA;CAMPUS JAGUARI;ENSINO PRESENCIAL;SEM PROGRAMA ASSOCIADO;TECNOLOGIA;SISTEMAS ELETRICOS;CONTROLE E PROCESSOS INDUSTRIAIS;NÃO;;2689807;SISTEMAS ELETRICOS  12/02/2020 17/07/2023;12/02/2020;17/07/2023;2472;2400;2400;2,5;;1252;1,9169;699,6805;0,8746;;;01/01/2023;31/12/2023;7;0;0;198;0;0; 0,5425 ; 0,4744 ; 3,3211 ; 8,3027 ; -     ; 8,3027 ;PRESENCIAL;;;;;;;
RS;JAGUARI;IFFARROUPILHA;CAMPUS JAGUARI;ENSINO PRESENCIAL;SEM PROGRAMA ASSOCIADO;TECNICO;TECNICO EM AGRICULTURA;RECURSOS NATURAIS;SIM;INTEGRADO;2765322;TECNICO EM AGRICULTURA INTEGRADO 05/04/2021 23/12/2023;05/04/2021;23/12/2023;3400;1200;3200;2,5;;993;3,2226;1.176,2336;1,4703;;;01/01/2023;31/12/2023;26;0;0;357;0;0; 0,9781 ; 1,4381 ; 37,3897 ; 93,4743 ; 46,7372 ; 140,2115 ;PRESENCIAL;;;;;;;
RS;JAGUARI;IFFARROUPILHA;CAMPUS JAGUARI;ENSINO PRESENCIAL;SEM PROGRAMA ASSOCIADO;TECNICO;TECNICO EM SISTEMAS DE ENERGIA RENOVAVEL;CONTROLE E PROCESSOS INDUSTRIAIS;NÃO;INTEGRADO;2765337;TECNICO EM SISTEMAS DE ENERGIA RENOVAVEL INTEGRADO 05/04/2021 23/12/2023;05/04/2021;23/12/2023;3200;1200;3200;2,5;;993;3,2226;1.176,2336;1,4703;;;01/01/2023;31/12/2023;14;0;0;357;0;0; 0,9781 ; 1,4381 ; 20,1329 ; 50,3323 ; -     ; 50,3323 ;PRESENCIAL;;;;;;;
RS;JAGUARI;IFFARROUPILHA;CAMPUS JAGUARI;ENSINO PRESENCIAL;SEM PROGRAMA ASSOCIADO;TECNICO;TECNICO EM ADMINISTRACAO;GESTAO E NEGOCIOS;NÃO;SUBSEQUENTE;2765411;TECNICO EM ADMINISTRACAO SUBSEQUENTE 05/04/2021 31/07/2022;05/04/2021;31/07/2022;1000;800;800;1;;483;1,6563;604,5549;0,7557;;;01/01/2023;31/12/2023;6;0;0;0;0;182,5; 0,5000 ; 0,3778 ; 1,1335 ; 1,1335 ; -     ; 1,1335 ;PRESENCIAL;;;;;;;
RS;JAGUARI;IFFARROUPILHA;CAMPUS JAGUARI;ENSINO PRESENCIAL;SEM PROGRAMA ASSOCIADO;TECNICO;TECNICO EM SISTEMAS DE ENERGIA RENOVAVEL;CONTROLE E PROCESSOS INDUSTRIAIS;NÃO;SUBSEQUENTE;2765425;TECNICO EM SISTEMAS DE ENERGIA RENOVAVEL SUBSEQUENTE 05/04/2021 31/07/2022;05/04/2021;31/07/2022;1200;1200;1200;2,5;;483;2,4845;906,8323;1,1335;;;01/01/2023;31/12/2023;3;0;0;0;0;182,5; 0,5000 ; 0,5668 ; 0,8502 ; 2,1254 ; -     ; 2,1254 ;PRESENCIAL;;;;;;;
RS;JAGUARI;IFFARROUPILHA;CAMPUS JAGUARI;ENSINO PRESENCIAL;SEM PROGRAMA ASSOCIADO;MESTRADO PROFISSIONAL;MESTRADO PROFISSIONAL - DESENVOLVIMENTO EDUCACIONAL E SOCIAL;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;NÃO;;2761208;MESTRADO PROFISSIONAL - DESENVOLVIMENTO EDUCACIONAL E SOCIAL  08/04/2021 07/04/2023;08/04/2021;07/04/2023;480;360;360;3,75;;730;0,4932;180,0000;0,2250;;;01/01/2023;31/12/2023;23;0;0;97;0;0; 0,2658 ; 0,0598 ; 1,3753 ; 5,1573 ; -     ; 5,1573 ;PRESENCIAL;;;;;;;
RS;JAGUARI;IFFARROUPILHA;CAMPUS JAGUARI;ENSINO PRESENCIAL;SEM PROGRAMA ASSOCIADO;TECNOLOGIA;SISTEMAS ELETRICOS;CONTROLE E PROCESSOS INDUSTRIAIS;NÃO;;2775971;SISTEMAS ELETRICOS  07/06/2021 31/07/2024;07/06/2021;31/07/2024;2472;2400;2400;2,5;;1151;2,0851;761,0773;0,9513;;;01/01/2023;31/12/2023;4;365;0;0;0;0; 1,0000 ; 0,9513 ; 3,8054 ; 9,5135 ; -     ; 9,5135 ;PRESENCIAL;;;;;;;
RS;JAGUARI;IFFARROUPILHA;CAMPUS JAGUARI;ENSINO A DISTANCIA;SEM PROGRAMA ASSOCIADO;LICENCIATURA;PROGRAMA ESPECIAL DE FORMACAO PEDAGOGICA DE DOCENTES;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;NÃO;;2815416;PROGRAMA ESPECIAL DE FORMACAO PEDAGOGICA DE DOCENTES  23/08/2021 31/07/2023;23/08/2021;31/07/2023;1040;3200;3200;2,5;;708;1,4689;536,1582;0,6702;;;01/01/2023;31/12/2023;32;0;0;212;0;0; 0,5808 ; 0,3893 ; 12,4565 ; 31,1412 ; -     ; 31,1412 ;EAD FP;;;;;;;
RS;JAGUARI;IFFARROUPILHA;CAMPUS JAGUARI;ENSINO PRESENCIAL;SEM PROGRAMA ASSOCIADO;ESPECIALIZACAO (LATO SENSU);ESPECIALIZACAO - DESENVOLVIMENTO EDUCACIONAL E SOCIAL;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;NÃO;;2866731;ESPECIALIZACAO - DESENVOLVIMENTO EDUCACIONAL E SOCIAL  03/09/2021 31/03/2023;03/09/2021;31/03/2023;360;360;360;2;;575;0,6261;228,5217;0,2857;;;01/01/2023;31/12/2023;14;0;0;90;0;0; 0,2466 ; 0,0704 ; 0,9861 ; 1,9722 ; -     ; 1,9722 ;PRESENCIAL;;;;;;;
RS;JAGUARI;IFFARROUPILHA;CAMPUS JAGUARI;ENSINO PRESENCIAL;SEM PROGRAMA ASSOCIADO;TECNICO;TECNICO EM ADMINISTRACAO;GESTAO E NEGOCIOS;NÃO;INTEGRADO;2852007;TECNICO EM ADMINISTRACAO INTEGRADO 14/02/2022 23/12/2024;14/02/2022;23/12/2024;3160;800;3000;1,5;;1044;2,8736;1.048,8506;1,3111;;;01/01/2023;31/12/2023;26;365;0;0;0;0; 1,0000 ; 1,3111 ; 34,0876 ; 51,1315 ; -     ; 51,1315 ;PRESENCIAL;;;;;;;
RS;JAGUARI;IFFARROUPILHA;CAMPUS JAGUARI;ENSINO PRESENCIAL;SEM PROGRAMA ASSOCIADO;TECNICO;TECNICO EM SISTEMAS DE ENERGIA RENOVAVEL;CONTROLE E PROCESSOS INDUSTRIAIS;NÃO;INTEGRADO;2852849;TECNICO EM SISTEMAS DE ENERGIA RENOVAVEL INTEGRADO 14/02/2022 23/12/2024;14/02/2022;23/12/2024;3200;1200;3200;2,5;;1044;3,0651;1.118,7739;1,3985;;;01/01/2023;31/12/2023;18;365;0;0;0;0; 1,0000 ; 1,3985 ; 25,1724 ; 62,9310 ; -     ; 62,9310 ;PRESENCIAL;;;;;;;
RS;JAGUARI;IFFARROUPILHA;CAMPUS JAGUARI;ENSINO PRESENCIAL;SEM PROGRAMA ASSOCIADO;TECNICO;TECNICO EM AGRICULTURA;RECURSOS NATURAIS;SIM;INTEGRADO;2852857;TECNICO EM AGRICULTURA INTEGRADO 14/02/2022 23/12/2024;14/02/2022;23/12/2024;3400;1200;3200;2,5;;1044;3,0651;1.118,7739;1,3985;;;01/01/2023;31/12/2023;26;365;0;0;0;0; 1,0000 ; 1,3985 ; 36,3602 ; 90,9004 ; 45,4502 ; 136,3506 ;PRESENCIAL;;;;;;;
RS;JAGUARI;IFFARROUPILHA;CAMPUS JAGUARI;ENSINO PRESENCIAL;SEM PROGRAMA ASSOCIADO;TECNICO;TECNICO EM ADMINISTRACAO;GESTAO E NEGOCIOS;NÃO;SUBSEQUENTE;2852863;TECNICO EM ADMINISTRACAO SUBSEQUENTE 14/02/2022 31/07/2023;14/02/2022;31/07/2023;1000;800;800;1;;533;1,5009;547,8424;0,6848;;;01/01/2023;31/12/2023;16;0;0;212;0;0; 0,5808 ; 0,3977 ; 6,3640 ; 6,3640 ; -     ; 6,3640 ;PRESENCIAL;;;;;;;
RS;JAGUARI;IFFARROUPILHA;CAMPUS JAGUARI;ENSINO PRESENCIAL;SEM PROGRAMA ASSOCIADO;TECNICO;TECNICO EM SISTEMAS DE ENERGIA RENOVAVEL;CONTROLE E PROCESSOS INDUSTRIAIS;NÃO;SUBSEQUENTE;2852867;TECNICO EM SISTEMAS DE ENERGIA RENOVAVEL SUBSEQUENTE 14/02/2022 31/07/2023;14/02/2022;31/07/2023;1200;1200;1200;2,5;;533;2,2514;821,7636;1,0272;;;01/01/2023;31/12/2023;3;0;0;212;0;0; 0,5808 ; 0,5966 ; 1,7899 ; 4,4747 ; -     ; 4,4747 ;PRESENCIAL;;;;;;;
RS;JAGUARI;IFFARROUPILHA;CAMPUS JAGUARI;ENSINO PRESENCIAL;SEM PROGRAMA ASSOCIADO;QUALIFICACAO PROFISSIONAL (FIC);ASSISTENTE FINANCEIRO;GESTAO E NEGOCIOS;NÃO;PROEJA - INTEGRADO;2857082;ASSISTENTE FINANCEIRO PROEJA - INTEGRADO 21/02/2022 22/12/2023;21/02/2022;22/12/2023;1400;160;1400;2,5;;670;2,0896;762,6866;0,9534;;;01/01/2023;31/12/2023;17;0;0;356;0;0; 0,9753 ; 0,9299 ; 15,8075 ; 39,5187 ; -     ; 39,5187 ;PRESENCIAL;;;;;;;
RS;JAGUARI;IFFARROUPILHA;CAMPUS JAGUARI;ENSINO PRESENCIAL;SEM PROGRAMA ASSOCIADO;MESTRADO PROFISSIONAL;MESTRADO PROFISSIONAL - DESENVOLVIMENTO EDUCACIONAL E SOCIAL;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;NÃO;;2858346;MESTRADO PROFISSIONAL - DESENVOLVIMENTO EDUCACIONAL E SOCIAL  01/04/2022 30/03/2024;01/04/2022;30/03/2024;480;360;360;3,75;;730;0,4932;180,0000;0,2250;;;01/01/2023;31/12/2023;24;365;0;0;0;0; 1,0000 ; 0,2250 ; 5,4000 ; 20,2500 ; -     ; 20,2500 ;PRESENCIAL;;;;;;;
RS;JAGUARI;IFFARROUPILHA;CAMPUS JAGUARI;ENSINO PRESENCIAL;SEM PROGRAMA ASSOCIADO;TECNOLOGIA;SISTEMAS ELETRICOS;CONTROLE E PROCESSOS INDUSTRIAIS;NÃO;;2867593;SISTEMAS ELETRICOS  01/04/2022 31/07/2025;01/04/2022;31/07/2025;2472;2400;2400;2,5;;1218;1,9704;719,2118;0,8990;;;01/01/2023;31/12/2023;7;365;0;0;0;0; 1,0000 ; 0,8990 ; 6,2931 ; 15,7328 ; -     ; 15,7328 ;PRESENCIAL;;;;;;;
RS;JAGUARI;IFFARROUPILHA;CAMPUS JAGUARI;ENSINO PRESENCIAL;SEM PROGRAMA ASSOCIADO;QUALIFICACAO PROFISSIONAL (FIC);ESPANHOL BASICO;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;NÃO;;2975779;ESPANHOL BASICO  22/08/2022 05/12/2022;22/08/2022;05/12/2022;40;160;40;1;;106;0,3774;40,0000;0,0500;;;01/01/2023;31/12/2023;0;0;0;0;0;182,5; 1,7217 ; 0,0861 ; -     ; -     ; -     ; -     ;PRESENCIAL;;;;;;;
RS;JAGUARI;IFFARROUPILHA;CAMPUS JAGUARI;ENSINO A DISTANCIA;SEM PROGRAMA ASSOCIADO;ESPECIALIZACAO (LATO SENSU);ESPECIALIZACAO - DESENVOLVIMENTO EDUCACIONAL E SOCIAL;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;NÃO;;2920142;ESPECIALIZACAO - DESENVOLVIMENTO EDUCACIONAL E SOCIAL  03/10/2022 15/12/2023;03/10/2022;15/12/2023;400;360;360;2;;439;0,8200;299,3166;0,3741;;;01/01/2023;31/12/2023;40;0;0;349;0;0; 0,9562 ; 0,3577 ; 14,3098 ; 28,6196 ; -     ; 28,6196 ;EAD FP;;;;;;;
RS;JAGUARI;IFFARROUPILHA;CAMPUS JAGUARI;ENSINO A DISTANCIA;SEM PROGRAMA ASSOCIADO;ESPECIALIZACAO (LATO SENSU);ESPECIALIZACAO - DESENVOLVIMENTO EDUCACIONAL E SOCIAL;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;NÃO;;2924038;ESPECIALIZACAO - DESENVOLVIMENTO EDUCACIONAL E SOCIAL  03/10/2022 22/12/2023;03/10/2022;22/12/2023;380;360;360;2;;446;0,8072;294,6188;0,3683;;;01/01/2023;31/12/2023;37;0;0;356;0;0; 0,9753 ; 0,3592 ; 13,2901 ; 26,5803 ; -     ; 26,5803 ;EAD FP;;;;;;;
RS;JAGUARI;IFFARROUPILHA;CAMPUS JAGUARI;ENSINO PRESENCIAL;SEM PROGRAMA ASSOCIADO;QUALIFICACAO PROFISSIONAL (FIC);QUALIFICACAO PROFISSIONAL - INFORMACAO E COMUNICACAO;INFORMACAO E COMUNICACAO;NÃO;;2937427;QUALIFICACAO PROFISSIONAL - INFORMACAO E COMUNICACAO  03/11/2022 23/11/2022;03/11/2022;23/11/2022;30;160;30;1;;21;1,4286;30,0000;0,0375;;;01/01/2023;31/12/2023;0;0;0;0;0;182,5; 8,6905 ; 0,3259 ; -     ; -     ; -     ; -     ;PRESENCIAL;;;;;;;
RS;JAGUARI;IFFARROUPILHA;CAMPUS JAGUARI;ENSINO PRESENCIAL;SEM PROGRAMA ASSOCIADO;TECNICO;TECNICO EM ADMINISTRACAO;GESTAO E NEGOCIOS;NÃO;INTEGRADO;2960631;TECNICO EM ADMINISTRACAO INTEGRADO 14/02/2023 24/12/2025;14/02/2023;24/12/2025;3160;800;3000;1,5;;1045;2,8708;1.047,8469;1,3098;;;01/01/2023;31/12/2023;35;0;321;0;0;0; 0,8795 ; 1,1519 ; 40,3170 ; 60,4755 ; -     ; 60,4755 ;PRESENCIAL;;;;;;;
RS;JAGUARI;IFFARROUPILHA;CAMPUS JAGUARI;ENSINO PRESENCIAL;SEM PROGRAMA ASSOCIADO;TECNICO;TECNICO EM AGRICULTURA;RECURSOS NATURAIS;SIM;INTEGRADO;2960636;TECNICO EM AGRICULTURA INTEGRADO 14/02/2023 24/12/2025;14/02/2023;24/12/2025;3400;1200;3200;2,5;;1045;3,0622;1.117,7033;1,3971;;;01/01/2023;31/12/2023;35;0;321;0;0;0; 0,8795 ; 1,2287 ; 43,0048 ; 107,5120 ; 53,7560 ; 161,2679 ;PRESENCIAL;;;;;;;
RS;JAGUARI;IFFARROUPILHA;CAMPUS JAGUARI;ENSINO PRESENCIAL;SEM PROGRAMA ASSOCIADO;TECNICO;TECNICO EM SISTEMAS DE ENERGIA RENOVAVEL;CONTROLE E PROCESSOS INDUSTRIAIS;NÃO;INTEGRADO;2960648;TECNICO EM SISTEMAS DE ENERGIA RENOVAVEL INTEGRADO 14/02/2023 24/12/2025;14/02/2023;24/12/2025;3200;1200;3200;2,5;;1045;3,0622;1.117,7033;1,3971;;;01/01/2023;31/12/2023;35;0;321;0;0;0; 0,8795 ; 1,2287 ; 43,0048 ; 107,5120 ; -     ; 107,5120 ;PRESENCIAL;;;;;;;
RS;JAGUARI;IFFARROUPILHA;CAMPUS JAGUARI;ENSINO PRESENCIAL;SEM PROGRAMA ASSOCIADO;TECNICO;TECNICO EM ADMINISTRACAO;GESTAO E NEGOCIOS;NÃO;SUBSEQUENTE;2960689;TECNICO EM ADMINISTRACAO SUBSEQUENTE 14/02/2023 22/12/2023;14/02/2023;22/12/2023;800;800;800;1;;312;2,5641;800,0000;1,0000;;;01/01/2023;31/12/2023;35;0;0;0;312;0; 1,0000 ; 1,0000 ; 35,0000 ; 35,0000 ; -     ; 35,0000 ;PRESENCIAL;;;;;;;
RS;JAGUARI;IFFARROUPILHA;CAMPUS JAGUARI;ENSINO PRESENCIAL;SEM PROGRAMA ASSOCIADO;TECNICO;TECNICO EM COMERCIO;GESTAO E NEGOCIOS;NÃO;PROEJA - INTEGRADO;2960723;TECNICO EM COMERCIO PROEJA - INTEGRADO 14/02/2023 24/12/2025;14/02/2023;24/12/2025;2400;800;2400;2,5;;1045;2,2967;838,2775;1,0478;;;01/01/2023;31/12/2023;22;0;321;0;0;0; 0,8795 ; 0,9215 ; 20,2737 ; 50,6842 ; -     ; 50,6842 ;PRESENCIAL;;;;;;;
RS;JAGUARI;IFFARROUPILHA;CAMPUS JAGUARI;ENSINO A DISTANCIA;SEM PROGRAMA ASSOCIADO;LICENCIATURA;PEDAGOGIA;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;NÃO;;2962734;PEDAGOGIA  09/03/2023 24/12/2026;09/03/2023;24/12/2026;3484;3200;3200;2,5;;1387;2,3071;842,1053;1,0526;;;01/01/2023;31/12/2023;40;0;298;0;0;0; 0,8164 ; 0,8594 ; 34,3764 ; 85,9409 ; -     ; 85,9409 ;EAD FP;;;;;;;
RS;JAGUARI;IFFARROUPILHA;CAMPUS JAGUARI;ENSINO PRESENCIAL;SEM PROGRAMA ASSOCIADO;MESTRADO PROFISSIONAL;MESTRADO PROFISSIONAL - DESENVOLVIMENTO EDUCACIONAL E SOCIAL;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;NÃO;;2971972;MESTRADO PROFISSIONAL - DESENVOLVIMENTO EDUCACIONAL E SOCIAL  30/03/2023 26/12/2024;30/03/2023;26/12/2024;480;360;360;3,75;;638;0,5643;205,9561;0,2574;;;01/01/2023;31/12/2023;28;0;277;0;0;0; 0,7589 ; 0,1954 ; 5,4705 ; 20,5145 ; -     ; 20,5145 ;PRESENCIAL;;;;;;;
RS;JAGUARI;IFFARROUPILHA;CAMPUS JAGUARI;ENSINO PRESENCIAL;SEM PROGRAMA ASSOCIADO;QUALIFICACAO PROFISSIONAL (FIC);PROGRAMADOR DE SISTEMAS;INFORMACAO E COMUNICACAO;NÃO;;3010242;PROGRAMADOR DE SISTEMAS  24/06/2023 19/07/2023;24/06/2023;19/07/2023;30;200;30;1;;26;1,1538;30,0000;0,0375;;;01/01/2023;31/12/2023;38;0;0;0;26;0; 1,0000 ; 0,0375 ; 1,4250 ; 1,4250 ; -     ; 1,4250 ;PRESENCIAL;;;;;;;
RS;JAGUARI;IFFARROUPILHA;CAMPUS JAGUARI;ENSINO PRESENCIAL;SEM PROGRAMA ASSOCIADO;QUALIFICACAO PROFISSIONAL (FIC);PRODUTOR DE CACHACA;PRODUCAO ALIMENTICIA;NÃO;;3028641;PRODUTOR DE CACHACA  19/08/2023 27/08/2023;19/08/2023;27/08/2023;22;200;22;1;;9;2,4444;22,0000;0,0275;;;01/01/2023;31/12/2023;43;0;0;0;9;0; 1,0000 ; 0,0275 ; 1,1825 ; 1,1825 ; -     ; 1,1825 ;PRESENCIAL;;;;;;;
RS;JAGUARI;IFFARROUPILHA;CAMPUS JAGUARI;ENSINO PRESENCIAL;SEM PROGRAMA ASSOCIADO;QUALIFICACAO PROFISSIONAL (FIC);PRODUTOR FAMILIAR DE CANA­DE­ACUCAR;RECURSOS NATURAIS;NÃO;;3028632;PRODUTOR FAMILIAR DE CANA­DE­ACUCAR  25/08/2023 10/12/2023;25/08/2023;10/12/2023;32;160;32;1;;108;0,2963;32,0000;0,0400;;;01/01/2023;31/12/2023;20;0;0;0;108;0; 1,0000 ; 0,0400 ; 0,8000 ; 0,8000 ; -     ; 0,8000 ;PRESENCIAL;;;;;;;
RS;JAGUARI;IFFARROUPILHA;CAMPUS JAGUARI;ENSINO PRESENCIAL;SEM PROGRAMA ASSOCIADO;QUALIFICACAO PROFISSIONAL (FIC);AUXILIAR PEDAGOGICO;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;NÃO;;3045383;AUXILIAR PEDAGOGICO  04/09/2023 08/12/2023;04/09/2023;08/12/2023;80;200;80;1;;96;0,8333;80,0000;0,1000;;;01/01/2023;31/12/2023;50;0;0;0;96;0; 1,0000 ; 0,1000 ; 5,0000 ; 5,0000 ; -     ; 5,0000 ;PRESENCIAL;;;;;;;
RS;JAGUARI;IFFARROUPILHA;CAMPUS JAGUARI;ENSINO PRESENCIAL;SEM PROGRAMA ASSOCIADO;QUALIFICACAO PROFISSIONAL (FIC);ESPANHOL BASICO;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;NÃO;;3040836;ESPANHOL BASICO  09/09/2023 20/12/2023;09/09/2023;20/12/2023;40;160;40;1;;103;0,3883;40,0000;0,0500;;;01/01/2023;31/12/2023;16;0;0;0;103;0; 1,0000 ; 0,0500 ; 0,8000 ; 0,8000 ; -     ; 0,8000 ;PRESENCIAL;;;;;;;
RS;JAGUARI;IFFARROUPILHA;CAMPUS JAGUARI;ENSINO PRESENCIAL;SEM PROGRAMA ASSOCIADO;QUALIFICACAO PROFISSIONAL (FIC);ESPANHOL BASICO;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;NÃO;;3045443;ESPANHOL BASICO  09/09/2023 19/12/2023;09/09/2023;19/12/2023;40;160;40;1;;102;0,3922;40,0000;0,0500;;;01/01/2023;31/12/2023;30;0;0;0;102;0; 1,0000 ; 0,0500 ; 1,5000 ; 1,5000 ; -     ; 1,5000 ;PRESENCIAL;;;;;;;
RS;JAGUARI;IFFARROUPILHA;CAMPUS JAGUARI;ENSINO A DISTANCIA;SEM PROGRAMA ASSOCIADO;QUALIFICACAO PROFISSIONAL (FIC);PROGRAMADOR DE DISPOSITIVOS MOVEIS;INFORMACAO E COMUNICACAO;NÃO;;3045363;PROGRAMADOR DE DISPOSITIVOS MOVEIS  25/09/2023 30/11/2023;25/09/2023;30/11/2023;200;200;200;1;;67;2,9851;200,0000;0,2500;;;01/01/2023;31/12/2023;72;0;0;0;67;0; 1,0000 ; 0,2500 ; 18,0000 ; 18,0000 ; -     ; 18,0000 ;EAD FP;;;;;;;
RS;JAGUARI;IFFARROUPILHA;CAMPUS JAGUARI;ENSINO A DISTANCIA;SEM PROGRAMA ASSOCIADO;QUALIFICACAO PROFISSIONAL (FIC);MICROEMPREENDEDOR INDIVIDUAL (MEI);GESTAO E NEGOCIOS;NÃO;;3045364;MICROEMPREENDEDOR INDIVIDUAL (MEI)  25/09/2023 30/11/2023;25/09/2023;30/11/2023;160;160;160;1;;67;2,3881;160,0000;0,2000;;;01/01/2023;31/12/2023;49;0;0;0;67;0; 1,0000 ; 0,2000 ; 9,8000 ; 9,8000 ; -     ; 9,8000 ;EAD FP;;;;;;;
RS;JAGUARI;IFFARROUPILHA;CAMPUS JAGUARI;ENSINO A DISTANCIA;SEM PROGRAMA ASSOCIADO;QUALIFICACAO PROFISSIONAL (FIC);ASSISTENTE ADMINISTRATIVO;GESTAO E NEGOCIOS;NÃO;;3045365;ASSISTENTE ADMINISTRATIVO  25/09/2023 30/11/2023;25/09/2023;30/11/2023;160;160;160;1;;67;2,3881;160,0000;0,2000;;;01/01/2023;31/12/2023;127;0;0;0;67;0; 1,0000 ; 0,2000 ; 25,4000 ; 25,4000 ; -     ; 25,4000 ;EAD FP;;;;;;;
RS;JAGUARI;IFFARROUPILHA;CAMPUS JAGUARI;ENSINO A DISTANCIA;SEM PROGRAMA ASSOCIADO;QUALIFICACAO PROFISSIONAL (FIC);PRODUTOR DE PLANTAS AROMATICAS E MEDICINAIS;RECURSOS NATURAIS;NÃO;;3045368;PRODUTOR DE PLANTAS AROMATICAS E MEDICINAIS  25/09/2023 30/11/2023;25/09/2023;30/11/2023;200;200;200;1;;67;2,9851;200,0000;0,2500;;;01/01/2023;31/12/2023;40;0;0;0;67;0; 1,0000 ; 0,2500 ; 10,0000 ; 10,0000 ; -     ; 10,0000 ;EAD FP;;;;;;;
RS;JAGUARI;IFFARROUPILHA;CAMPUS JAGUARI;ENSINO PRESENCIAL;SEM PROGRAMA ASSOCIADO;QUALIFICACAO PROFISSIONAL (FIC);PRODUTOR DE OLERICOLAS;RECURSOS NATURAIS;NÃO;;3069114;PRODUTOR DE OLERICOLAS  01/12/2023 29/12/2023;01/12/2023;29/12/2023;30;200;30;1;;29;1,0345;30,0000;0,0375;;;01/01/2023;31/12/2023;19;0;0;0;29;0; 1,0000 ; 0,0375 ; 0,7125 ; 0,7125 ; -     ; 0,7125 ;PRESENCIAL;;;;;;;
RS;JÚLIO DE CASTILHOS;IFFARROUPILHA;CAMPUS JULIO DE CASTILHOS;ENSINO PRESENCIAL;SEM PROGRAMA ASSOCIADO;BACHARELADO;ADMINISTRACAO;GESTAO E NEGOCIOS;NÃO;;1946909;ADMINISTRACAO  19/02/2014 15/12/2017;19/02/2014;15/12/2017;3000;3000;3000;1;;1396;2,1490;784,3840;0,9805;;;01/01/2023;31/12/2023;2;0;0;0;0;182,5; 0,5000 ; 0,4902 ; -     ; -     ; -     ; -     ;PRESENCIAL;;;;;;;
RS;JÚLIO DE CASTILHOS;IFFARROUPILHA;CAMPUS JULIO DE CASTILHOS;ENSINO PRESENCIAL;SEM PROGRAMA ASSOCIADO;TECNICO;TECNICO EM AGROPECUARIA;RECURSOS NATURAIS;SIM;INTEGRADO;1981917;TECNICO EM AGROPECUARIA INTEGRADO 19/02/2015 20/07/2018;19/02/2015;20/07/2018;3400;1200;3200;2,5;;1248;2,5641;935,8974;1,1699;;;01/01/2023;31/12/2023;1;0;0;0;0;182,5; 0,5000 ; 0,5849 ; -     ; -     ; -     ; -     ;PRESENCIAL;;;;;;;
RS;JÚLIO DE CASTILHOS;IFFARROUPILHA;CAMPUS JULIO DE CASTILHOS;ENSINO PRESENCIAL;SEM PROGRAMA ASSOCIADO;TECNOLOGIA;AGRONEGOCIO;RECURSOS NATURAIS;SIM;;1981921;AGRONEGOCIO  19/02/2015 19/02/2018;19/02/2015;19/02/2018;2600;2400;2400;1,5;;1097;2,1878;798,5415;0,9982;;;01/01/2023;31/12/2023;1;0;0;0;0;182,5; 0,5000 ; 0,4991 ; -     ; -     ; -     ; -     ;PRESENCIAL;;;;;;;
RS;JÚLIO DE CASTILHOS;IFFARROUPILHA;CAMPUS JULIO DE CASTILHOS;ENSINO PRESENCIAL;SEM PROGRAMA ASSOCIADO;BACHARELADO;ADMINISTRACAO;GESTAO E NEGOCIOS;NÃO;;1981923;ADMINISTRACAO  19/02/2015 19/02/2019;19/02/2015;19/02/2019;3100;3000;3000;1;;1462;2,0520;748,9740;0,9362;;;01/01/2023;31/12/2023;2;0;0;0;0;182,5; 0,5000 ; 0,4681 ; -     ; -     ; -     ; -     ;PRESENCIAL;;;;;;;
RS;JÚLIO DE CASTILHOS;IFFARROUPILHA;CAMPUS JULIO DE CASTILHOS;ENSINO PRESENCIAL;SEM PROGRAMA ASSOCIADO;TECNOLOGIA;AGRONEGOCIO;RECURSOS NATURAIS;SIM;;2022837;AGRONEGOCIO  15/02/2016 15/02/2019;15/02/2016;15/02/2019;2600;2400;2400;1,5;;1097;2,1878;798,5415;0,9982;;;01/01/2023;31/12/2023;0;0;0;0;0;182,5; 0,5000 ; 0,4991 ; -     ; -     ; -     ; -     ;PRESENCIAL;;;;;;;
